"Freq","Power"
"2.1000380007600152","1.1940898345390148e-05"
"4.10007600152003","1.1958606083765623e-05"
"6.100114002280045","1.197635398921436e-05"
"8.10015200304006","1.199414218686199e-05"
"10.100190003800074","1.2011970802336566e-05"
"12.10022800456009","1.2029839961771061e-05"
"14.100266005320107","1.2047749791805798e-05"
"16.100304006080123","1.206570041959114e-05"
"18.100342006840137","1.2083691972789875e-05"
"20.10038000760015","1.2101724579579889e-05"
"22.10041800836017","1.2119798368656706e-05"
"24.100456009120183","1.2137913469236097e-05"
"26.100494009880197","1.215607001105664e-05"
"28.100532010640215","1.2174268124382443e-05"
"30.10057001140023","1.2192507940005706e-05"
"32.100608012160244","1.2210789589249403e-05"
"34.10064601292026","1.2229113203969965e-05"
"36.10068401368027","1.2247478916559987e-05"
"38.10072201444029","1.2265886859950883e-05"
"40.1007600152003","1.2284337167615675e-05"
"42.10079801596032","1.2302829973571687e-05"
"44.100836016720336","1.2321365412383331e-05"
"46.10087401748035","1.2339943619164868e-05"
"48.100912018240365","1.2358564729583188e-05"
"50.10095001900038","1.2377228879860667e-05"
"52.10098801976039","1.239593620677795e-05"
"54.10102602052041","1.2414686847676794e-05"
"56.10106402128043","1.2433480940462957e-05"
"58.10110202204044","1.2452318623609061e-05"
"60.10114002280046","1.2471200036157516e-05"
"62.10117802356047","1.2490125317723383e-05"
"64.10121602432048","1.2509094608497338e-05"
"66.1012540250805","1.2528108049248647e-05"
"68.10129202584051","1.2547165781328102e-05"
"70.10133002660052","1.2566267946671022e-05"
"72.10136802736054","1.2585414687800262e-05"
"74.10140602812055","1.2604606147829217e-05"
"76.10144402888056","1.2623842470464922e-05"
"78.10148202964058","1.264312380001109e-05"
"80.1015200304006","1.2662450281371127e-05"
"82.10155803116062","1.2681822060051352e-05"
"84.10159603192064","1.2701239282164054e-05"
"86.10163403268065","1.2720702094430644e-05"
"88.10167203344066","1.2740210644184797e-05"
"90.10171003420068","1.2759765079375683e-05"
"92.10174803496069","1.2779365548571142e-05"
"94.1017860357207","1.2799012200960896e-05"
"96.10182403648072","1.2818705186359795e-05"
"98.10186203724074","1.2838444655211112e-05"
"100.10190003800075","1.2858230758589792e-05"
"102.10193803876076","1.2878063648205768e-05"
"104.10197603952078","1.2897943476407301e-05"
"106.10201404028079","1.2917870396184325e-05"
"108.1020520410408","1.2937844561171796e-05"
"110.10209004180082","1.2957866125653088e-05"
"112.10212804256085","1.2977935244563447e-05"
"114.10216604332086","1.299805207349336e-05"
"116.10220404408088","1.3018216768692073e-05"
"118.10224204484089","1.3038429487071055e-05"
"120.1022800456009","1.3058690386207446e-05"
"122.10231804636092","1.3078999624347708e-05"
"124.10235604712094","1.3099357360411006e-05"
"126.10239404788095","1.3119763753992958e-05"
"128.10243204864096","1.3140218965369079e-05"
"130.10247004940098","1.3160723155498514e-05"
"132.102508050161","1.3181276486027608e-05"
"134.102546050921","1.3201879119293678e-05"
"136.10258405168102","1.3222531218328584e-05"
"138.10262205244103","1.3243232946862583e-05"
"140.10266005320105","1.3263984469328018e-05"
"142.10269805396106","1.328478595086316e-05"
"144.10273605472108","1.3305637557316046e-05"
"146.1027740554811","1.3326539455248356e-05"
"148.1028120562411","1.3347491811939443e-05"
"150.10285005700112","1.3368494795390349e-05"
"152.10288805776113","1.3389548574328107e-05"
"154.10292605852115","1.3410653318210175e-05"
"156.10296405928116","1.3431809197229516e-05"
"158.10300206004118","1.3453016382320406e-05"
"160.1030400608012","1.3474275045166245e-05"
"162.10307806156123","1.3495585358211542e-05"
"164.10311606232125","1.3516947494684468e-05"
"166.10315406308126","1.3538361628649485e-05"
"168.10319206384128","1.3559827935162167e-05"
"170.1032300646013","1.3581346590873017e-05"
"172.1032680653613","1.3602917777657738e-05"
"174.10330606612132","1.3624541740400254e-05"
"176.10334406688133","1.3646219083918678e-05"
"178.10338206764135","1.3667948233961274e-05"
"180.10342006840136","1.3689731258176456e-05"
"182.10345806916138","1.37115677157792e-05"
"184.1034960699214","1.3733457773630323e-05"
"186.1035340706814","1.3755401611146247e-05"
"188.10357207144142","1.3777399410175083e-05"
"190.10361007220143","1.3799451353764516e-05"
"192.10364807296145","1.382155762590009e-05"
"194.10368607372146","1.384371841143208e-05"
"196.10372407448148","1.3865933896052801e-05"
"198.1037620752415","1.3888204266290663e-05"
"200.1038000760015","1.3910529709510837e-05"
"202.10383807676152","1.3932910413919413e-05"
"204.10387607752153","1.3955346568569943e-05"
"206.10391407828155","1.3977838363372675e-05"
"208.10395207904156","1.400038598910805e-05"
"210.10399007980158","1.4022989637447581e-05"
"212.1040280805616","1.4045649500989162e-05"
"214.1040660813216","1.4068365773323786e-05"
"216.10410408208162","1.4091138649175241e-05"
"218.10414208284163","1.4113968324730624e-05"
"220.10418008360165","1.4136854998546358e-05"
"222.10421808436166","1.4159798874570941e-05"
"224.1042560851217","1.418280017569422e-05"
"226.10429408588172","1.4205859247265804e-05"
"228.10433208664173","1.4228980643393066e-05"
"230.10437008740175","1.4252151804702764e-05"
"232.10440808816176","1.4275383123468615e-05"
"234.10444608892178","1.4298674135346818e-05"
"236.1044840896818","1.4322023851434563e-05"
"238.1045220904418","1.4345432390748591e-05"
"240.10456009120182","1.4368899940779135e-05"
"242.10459809196183","1.4392426701962256e-05"
"244.10463609272185","1.4416012878958429e-05"
"246.10467409348186","1.4439658678525092e-05"
"248.10471209424188","1.4463364308848354e-05"
"250.1047500950019","1.4487129979296852e-05"
"252.1047880957619","1.4510955900322405e-05"
"254.10482609652192","1.453484228342025e-05"
"256.10486409728196","1.4558789341117087e-05"
"258.104902098042","1.4582797286975827e-05"
"260.104940098802","1.4606866335614086e-05"
"262.104978099562","1.4630996702739535e-05"
"264.105016100322","1.4655188605211975e-05"
"266.10505410108203","1.4679442261154835e-05"
"268.10509210184205","1.4703757890168079e-05"
"270.10513010260206","1.4728135713769018e-05"
"272.1051681033621","1.4752575956407982e-05"
"274.1052061041221","1.4777078848158308e-05"
"276.1052441048821","1.480164463338187e-05"
"278.1052821056421","1.4826273608456865e-05"
"280.10532010640213","1.48509664063833e-05"
"282.10535810716215","1.4875736022683321e-05"
"284.10539610792216","1.4900544989391299e-05"
"286.1054341086822","1.4925426104569208e-05"
"288.1054721094422","1.4950400311838778e-05"
"290.1055101102022","1.4975391309110811e-05"
"292.1055481109622","1.5000461088996215e-05"
"294.10558611172223","1.5025601851676533e-05"
"296.10562411248225","1.5050808303597972e-05"
"298.10566211324226","1.5076080264506048e-05"
"300.1057001140023","1.5101417882475029e-05"
"302.1057381147623","1.5126821366308776e-05"
"304.1057761155223","1.5152290942609992e-05"
"306.1058141162823","1.5177826845125016e-05"
"308.10585211704233","1.520342931135688e-05"
"310.10589011780235","1.5229098581338294e-05"
"312.10592811856236","1.5254834897226014e-05"
"314.1059661193224","1.5280638503373135e-05"
"316.1060041200824","1.5306509647026928e-05"
"318.1060421208424","1.533244858073305e-05"
"320.1060801216024","1.535845557199059e-05"
"322.1061181223625","1.5384530962890636e-05"
