PICname,StarName,Mass,Radius,Teff,Gmag,BOLrandomSysNSRNCAM_T,BOLnCameraObsNCAM_T
PIC 3051324000381,Gaia DR3 4657193606465368704,0.827180654927508,0.729641130905387,5308.56622906484,7.865145838250431,19.99,6
PIC 3000645000091,Gaia DR3 4670023700215616768,1.16423848555251,1.24195033692034,6131.12572016827,7.651631664952383,19.12,6
PIC 2986324000005,Gaia DR3 4675222436007028608,1.03083451856338,1.07395630743636,5736.65764923037,7.7402960415542,19.23,6
PIC 2972492000104,Gaia DR3 4675576135153914368,1.15,4.46999979019165,4803.0,5.524947101268356,10.97,6
PIC 2938083000069,Gaia DR3 5480006192386819456,1.30234669369334,1.43588896360823,6485.74418886154,6.0140381642510325,10.65,12
PIC 2935447000099,Gaia DR3 4758877919212831104,0.748399911035726,0.700468635005268,4869.38138901651,6.8630305306910335,11.08,18
PIC 2907352000055,Gaia DR3 5495052596695570816,0.883185384317372,0.998735157372827,5047.96582229509,8.838294982910156,16.47,24
PIC 2789027000045,Gaia DR3 4781553628548774656,1.15752565364007,1.63422847062706,5523.50112860525,7.514363807555797,14.11,12
PIC 2751062000085,Gaia DR3 5551551998119947648,1.30873688897591,2.18596910962766,5611.2495158365,7.891641504686539,12.7,24
PIC 2674747000081,Gaia DR3 4799563663371481344,0.952335608100839,0.873850900162821,5717.22718515397,9.203581809997559,19.09,24
PIC 2578122000674,Gaia DR3 5540006949934104448,1.00242297113876,1.0452535166778,5635.84218983699,7.011882608520224,12.65,12
PIC 2545256000317,Gaia DR3 5565208310497615232,1.27055733003531,1.69088115196977,5978.87759029025,7.823660520156545,15.34,12
PIC 2451019000309,Gaia DR3 5579783574073770112,1.18777961121225,1.43765662243126,5933.90118268581,7.075373209639481,12.7,12
