PICname,Mass,Radius,Teff,Gmag,distance,BPmag,RPmag,VmagCalculated,tPICplanetFlag,NSSFlag
PIC 2915577000081,1.18468961577826,1.40859303472183,5962.24748534666,9.241145133972168,123.964,9.530484199523926,8.787147521972656,9.365117073059082,0,0
PIC 2915571000104,1.28076314788399,1.99420726648303,5678.822619091,9.024362564086914,143.198,9.307443618774414,8.471739768981934,9.178230285644531,0,0
PIC 2912861000050,1.24677161647431,1.71093769782036,5845.03934126324,9.961657524108887,201.045,10.271350860595703,9.489653587341309,10.097663879394531,0,17
PIC 2908735000056,1.05045797019762,1.21046157376477,5596.38417560042,9.07114315032959,86.0648,9.173318862915039,8.309850692749023,9.234578132629395,0,3
PIC 2908735000057,0.996193169946288,1.06969444260281,5554.30587585674,9.364683151245117,85.6301,9.176817893981934,8.298332214355469,9.533388137817383,0,3
PIC 2901793000033,0.994942392145592,0.96878235172639,5750.35211117399,8.748120307922363,63.0257,9.068425178527832,8.25832462310791,8.893444061279297,16,0
PIC 2897612000102,1.14624080645593,1.38890816056139,5802.52992971167,9.209234237670898,113.768,9.521904945373535,8.727948188781738,9.349238395690918,0,9
PIC 2893330000017,1.07294674650015,1.09193198161083,5930.3338112932,9.946091651916504,131.513,10.142698287963867,9.389714241027832,10.073057174682617,0,3
PIC 2890529000062,1.06200820486613,1.08985141536082,5875.3926738632,7.260567123637696,37.4373,7.545868873596191,6.7770867347717285,7.392529010772705,0,0
PIC 2889072000139,1.10822173881541,1.20490515156712,5908.28511289661,9.56101131439209,120.609,9.855029106140137,9.095085144042969,9.69015121459961,0,3
PIC 2886168000063,1.04867643494312,1.01646166471571,5950.18384247158,9.372695922851562,94.7045,9.662190437316895,8.915861129760742,9.497608184814453,0,3
PIC 2886166000078,1.24886944871577,1.6278109311977,5960.0184573186,9.248567581176758,143.664,9.534093856811523,8.79028606414795,9.372690200805664,0,0
PIC 2886218000135,1.033856879022,1.05149362367669,5797.17871209213,9.69117546081543,107.333,10.006095886230469,9.210517883300781,9.831710815429688,0,3
PIC 2886191000129,1.20040266488142,1.53056002127669,5862.37779128318,9.924154281616211,178.061,10.231839179992676,9.456700325012207,10.058085441589355,0,0
PIC 2883305000009,1.05099573186218,1.04398437318687,5906.27233044753,9.90540885925293,122.382,10.205687522888184,9.445161819458008,10.0347318649292,0,0
PIC 2880424000123,1.10258767129099,1.16200004587314,5955.78495580642,8.572881698608398,75.0621,8.858368873596191,8.113880157470703,8.69722843170166,0,3
PIC 2880424000128,1.04816188447623,1.05224032168751,5874.12756099239,8.85201644897461,75.1216,9.15151309967041,8.381386756896973,8.984382629394531,0,3
PIC 2878914000067,0.960818832717823,0.874378522896812,5766.00806429968,8.669718742370605,55.1912,8.985417366027832,8.180694580078125,8.813272476196289,8,0
PIC 2878966000167,1.09607979448062,1.25375281967025,5762.07386351009,9.729835510253906,128.582,10.050332069396973,9.242822647094727,9.874273300170898,0,0
PIC 2877464000062,1.19254197027318,1.61988573274264,5706.91456495871,9.353621482849121,136.898,9.683792114257812,8.858118057250977,9.50411319732666,0,0
PIC 2874507000079,0.943141472719145,0.92826176558139,5539.87753319037,8.916121482849121,60.1244,9.272689819335938,8.3895902633667,9.086472511291504,0,0
PIC 2870094000052,1.15461462963486,1.35608591851091,5894.37541445447,9.573927879333496,135.886,9.871705055236816,9.107343673706055,9.704456329345703,0,3
PIC 2868606000109,1.19272013234189,1.46408795231112,5919.22679310949,9.163877487182617,122.54,9.46043872833252,8.704093933105469,9.29189395904541,0,0
PIC 2868638000148,1.09336061308208,1.14552701295355,5937.51344055446,8.753620147705078,79.9081,9.044896125793457,8.294708251953125,8.879729270935059,0,0
PIC 2864154000102,0.942883341193195,0.929168846991748,5536.40100592978,9.751380920410156,88.2347,10.109633445739746,9.224626541137695,9.922395706176758,0,0
PIC 2862637000040,1.14587151697327,1.39153831400131,5796.74887925153,9.798004150390625,149.127,10.111407279968262,9.315278053283691,9.938709259033203,0,9
PIC 2861112000105,0.959799590133692,0.902852319596904,5693.70575387164,9.439366340637207,79.0275,9.768830299377441,8.939408302307129,9.59113597869873,0,0
PIC 2856556000125,1.07937807124471,1.11484354610464,5920.79402859113,8.522748947143555,69.5428,8.816669464111328,8.061593055725098,8.65038776397705,0,0
PIC 2847353000081,1.13633186527011,1.23638294207889,5998.46126104023,9.297492027282715,113.17,9.577174186706543,8.845538139343262,9.41789722442627,0,3
PIC 2844331000233,1.33538460082888,1.94592858119506,5968.12712842789,7.708423787526065,84.7708,7.99277400970459,7.251866817474365,7.831662654876709,0,0
PIC 2841143000066,1.17247920118617,1.42653499652498,5875.69189278602,9.284719467163086,124.33,9.586480140686035,8.816496849060059,9.417032241821289,0,25
PIC 2833293000069,1.30773247506453,1.84523518043495,5959.98855069287,8.06297492980957,94.3874,8.352134704589844,7.608912467956543,8.186930656433105,0,0
PIC 2705309000027,0.89437471530767,0.807752282165074,5528.8834006045,7.361390327778904,25.4749,7.714540004730225,6.828292369842529,7.532878875732422,0,3
