PICid,Mass,Radius,Teff,BOLrandomSysNSRNCAM_T,Nu_max_Est
3071773000564,1.2278304182047,1.42063130818689,6153.60129700631,12.600000381469727,1820.3602112064734
3048720000650,1.4173229660693,1.93456198021021,6333.72572395204,12.229999542236328,1116.9154213525546
3042455000393,1.31389394086471,1.42677511266243,6554.68697817111,14.470000267028809,1871.1976653679048
3028407000042,1.1602742166947,1.67989576586607,5481.08686673049,12.960000038146973,1303.493933025232
3006117000071,1.27127169837189,1.40707451195093,6383.5716329542,13.3100004196167,1886.3344840411087
2979572000153,1.17320609212024,1.49634559924366,5779.13329893427,11.020000457763672,1617.8025593855486
2973615000068,1.40690024118995,1.67945707770765,6607.42859164484,10.229999542236328,1440.308862679951
2955725000150,1.04663959748218,1.11202308710066,5750.30695406681,10.770000457763672,2619.8138003291037
2952087000142,1.5195406527878,2.26508392588035,6404.71475210693,9.630000114440918,868.6407854673771
2949542000180,1.3400904710331,1.55409681126781,6482.69479899048,12.720000267028809,1617.5085257700478
2938136000058,1.38220895297467,1.61048053371033,6593.12039908774,10.34000015258789,1540.5068183960723
2938083000069,1.30234669369334,1.43588896360823,6485.74418886154,10.649999618530273,1840.9897700897347
2923633000051,1.2347358197255,1.58467483657212,5951.2469192464,10.539999961853027,1496.0156093756623
2922449000904,1.39614065175567,1.63864157931332,6615.91930711336,10.649999618530273,1500.4188713934304
2914127000043,1.25100690057149,1.28483825873971,6489.54609118231,10.699999809265137,2208.014953766747
2911495000112,1.26682670213759,1.54715526989198,6153.13345153795,13.630000114440918,1583.607776646084
2900433000106,1.21497598117964,1.56758250969946,5881.21809788269,12.75,1513.2811333324557
2897515000003,1.10205502701212,1.10183641558532,6066.85060889769,9.572999954223633,2735.481437888567
2886230000109,1.33324271536656,1.74504473326775,6194.00052758822,12.130000114440918,1305.7404488206992
2884721000063,1.2354281233994,1.52052192339891,6042.88347204391,14.520000457763672,1613.4532529104295
2870028000065,1.26136039612778,1.81057497269282,5792.84677304807,12.329999923706055,1186.605974561551
2861039000053,1.35408452946713,1.6835902073604,6366.49649686257,13.1899995803833,1405.3002646452333
2861277001607,1.22640416654433,1.30880444147546,6326.97842430958,11.329999923706055,2112.673118061924
2861094000113,1.26598175916494,1.33600614086161,6474.4910766224,11.489999771118164,2068.9695890719536
2859555000062,1.43133288932518,2.26995080115362,6042.70613931694,10.109999656677246,838.7613508580029
2850455000057,1.32938258079693,1.43550212111446,6613.60769330709,14.210000038146973,1861.9562738811142
2845908000092,1.2517997857041,1.5995636497236,6011.02476838984,14.069999694824219,1481.1667280212773
2841137000023,1.34941473960784,1.55082223970085,6530.21840667507,13.890000343322754,1629.686025223238
2836400000043,1.18625461901836,1.24107079475732,6244.16432882232,12.510000228881836,2287.6734342343866
2836362000044,1.27709576899998,1.43490909554629,6367.61028865683,12.359999656677246,1824.453660784093
2833269000107,1.09934964095564,1.16002938685741,5942.37293884032,10.279999732971191,2487.5068776038293
2822183000032,1.16649796672836,1.15711360671841,6297.87400503975,10.649999618530273,2576.8040063538083
2817364000171,1.3484704923566,1.49459366279149,6610.0890417296,10.329999923706055,1742.7612933695723
2817364000181,1.16906659161164,1.42719626489893,5858.01437794441,11.470000267028809,1760.1230013011561
2809154000107,1.44545404017372,2.28451009233715,6086.52529716347,9.574000358581543,833.2585827258848
2802523000039,1.26102702450797,1.46048998049746,6252.03678560208,13.199999809265137,1754.94234716742
2802533000109,1.30860711266985,2.00693514666003,5786.8497354573,11.479999542236328,1002.4619158592438
2795848000038,1.6754763,1.5682815,7938.053,9.22599983215332,1794.6494868806647
2795953000164,1.15507552924917,1.24899049002759,6072.32677615319,11.649999618530273,2230.2879538811144
2795929000186,1.22887338321506,1.48925331670422,6056.4385921007,14.289999961853027,1671.1202916491197
2795857000112,1.32702118071191,1.47554740722662,6539.77948688498,11.829999923706055,1769.034708020834
2787400000022,1.47243546893325,2.30212049538695,6179.21527763369,9.53600025177002,829.583089939828
2768785000027,1.28916101873013,1.35979463336071,6546.40042898894,13.970000267028809,2022.5795973020015
2768594000018,1.50325087518039,2.34306060601293,6264.26712268275,10.15999984741211,812.0367276789075
2761533000026,1.34385013118988,1.53946846466239,6521.36855109356,9.95199966430664,1648.1102396939104
2754583000062,1.05932951820444,1.13832154742298,5769.89476959609,10.210000038146973,2526.175973657727
2752733000008,1.22098931670831,1.31412870917987,6291.28092812919,13.710000038146973,2092.2467616487806
2751053000064,1.40881738339531,1.83155380269341,6419.33345711717,10.720000267028809,1230.3162442908808
2751018000100,1.00276278028318,1.23977383657243,5296.4334893114,11.380000114440918,2104.107363809595
2747434000008,1.39034528078323,1.62581121973547,6607.99189291059,13.199999809265137,1518.7772031782047
2747356000041,1.22113701159534,1.33715990472483,6253.65225697676,12.020000457763672,2027.1095761354927
2736513000014,1.22661339447165,1.44273336479508,6114.18748573261,14.390000343322754,1768.9377985891626
2731229000035,1.25403332735675,1.42212700808632,6277.36048304706,13.100000381469727,1836.9196557416014
2733008000117,1.26966491889532,1.89555985306943,5734.63128327679,11.239999771118164,1095.2361056340856
2729355000072,1.2549679071919,1.27363913606651,6528.87522066235,13.130000114440918,2247.330938638266
2723863000021,1.26802294710089,1.4548409457795,6293.83792253147,13.539999961853027,1772.4936598011175
2722144000023,2.3941789,1.7918226,10469.515,11.850000381469727,1710.6047881681488
2721950000046,1.28009522431264,1.43229951268372,6385.93590916638,10.6899995803833,1832.7730800001668
2722240001147,1.29307435004174,1.44953649093168,6420.6435103342,13.260000228881836,1802.6951840440188
2720255000121,1.07646636864655,1.300814315523,5585.3656616733,13.829999923706055,1997.9767550301904
2714549000005,1.36440075665513,1.65562756712489,6450.32713532057,12.550000190734863,1454.6957468065752
