StarName,Mass,Radius,Teff,Gmag
Gaia DR3 5265700621534802304,0.980592909579714,0.89750303651092,5827.25124168473,9.14642333984375
Gaia DR3 4722135642226902656,1.00761441441786,0.969757974560121,5820.04499859657,5.092834727366266
Gaia DR3 5292044915839080320,0.874525932035232,0.819186667291449,5378.85523281657,11.988969802856445
Gaia DR3 5481272932860894720,1.08375914230151,1.09819117048566,5976.2323875532,7.702243937077247
Gaia DR3 5290382630357080320,1.06518064907652,1.14777493814835,5783.88959719062,9.206395149230957
Gaia DR3 4774543108048368512,1.07007269960038,0.901853397977097,6329.79779032796,10.211104393005371
Gaia DR3 4829023222011088512,0.94087550255872,0.844031668764013,5720.88024598464,10.98522663116455
Gaia DR3 5321990183746655872,0.888766763973703,0.838031177199551,5420.92092687752,11.949028015136719
Gaia DR3 5508988150664745856,0.9600584350829,0.867229194128583,5778.60719540038,10.921865463256836
Gaia DR3 5510893810476230144,0.899575337229201,0.714620216932375,5812.91222780575,10.401928901672363
Gaia DR3 5331636478429352832,0.940559678250622,0.876280140068624,5641.87284282315,10.998496055603027
Gaia DR3 4802469840105263360,0.920168095088643,0.702270084620029,5979.89426139394,10.621963500976562
Gaia DR3 5526441690866412032,0.875034820689957,0.805638465636242,5415.03564703383,11.967206001281738
Gaia DR3 5539701255640836992,0.914374397867937,0.669285714311966,6046.13164716586,10.410264015197754
Gaia DR3 5529801905785076992,1.13498506297886,0.958407002821229,6553.52550738867,11.960627555847168
Gaia DR3 5589140589822710912,1.1343831636313,0.937615777740049,6600.27992800685,12.151182174682617
Gaia DR3 4874188960657543808,1.03326298399308,0.779976584510309,6441.37221969648,9.839387893676758
Gaia DR3 2902205991429301888,0.957332182997748,0.879398252709265,5733.59958985528,7.69154813609324
Gaia DR3 5600918043001487616,0.910575191510836,0.518208991294629,6588.37149049447,12.74659252166748
Gaia DR3 4881345510044485120,0.996983185317034,0.831057559717165,6086.95402572169,8.990459442138672
Gaia DR3 5602096685106118272,1.13656017424793,0.958913244247838,6560.91885666999,11.681777954101562
Gaia DR3 2922641274023635584,1.00537231036646,0.676911244073455,6593.85537808052,11.46457290649414
Gaia DR3 5615671255659828480,1.10530358126314,0.867859593986093,6615.45228056051,12.244240760803223
Gaia DR3 2965917433220305024,1.09956964966488,0.899976143925316,6500.45576002141,9.38184928894043
