StarName,Mass,Radius,Teff,Gmag,BOLrandomSysNSRNCAM_T,BOLnCameraObsNCAM_T
Gaia DR3 5265700621534802304,0.980592909579714,0.89750303651092,5827.25124168473,9.14642333984375,34.95,6
Gaia DR3 5292044915839080320,0.874525932035232,0.819186667291449,5378.85523281657,11.988969802856445,95.61,12
Gaia DR3 5481272932860894720,1.08375914230151,1.09819117048566,5976.2323875532,7.702243937077247,14.82,12
Gaia DR3 5290382630357080320,1.06518064907652,1.14777493814835,5783.88959719062,9.206395149230957,34.57,6
Gaia DR3 4774543108048368512,1.07007269960038,0.901853397977097,6329.79779032796,10.211104393005371,54.74,12
Gaia DR3 4829023222011088512,0.94087550255872,0.844031668764013,5720.88024598464,10.98522663116455,82.03,6
Gaia DR3 5321990183746655872,0.888766763973703,0.838031177199551,5420.92092687752,11.949028015136719,133.8,6
Gaia DR3 5508988150664745856,0.9600584350829,0.867229194128583,5778.60719540038,10.921865463256836,40.14,24
Gaia DR3 5510893810476230144,0.899575337229201,0.714620216932375,5812.91222780575,10.401928901672363,43.34,12
Gaia DR3 4802469840105263360,0.920168095088643,0.702270084620029,5979.89426139394,10.621963500976562,49.16,12
Gaia DR3 5526441690866412032,0.875034820689957,0.805638465636242,5415.03564703383,11.967206001281738,99.97,12
Gaia DR3 5539701255640836992,0.914374397867937,0.669285714311966,6046.13164716586,10.410264015197754,44.9,12
Gaia DR3 5589140589822710912,1.1343831636313,0.937615777740049,6600.27992800685,12.151182174682617,109.1,12
Gaia DR3 4874188960657543808,1.03326298399308,0.779976584510309,6441.37221969648,9.839387893676758,70.4,6
Gaia DR3 2902205991429301888,0.957332182997748,0.879398252709265,5733.59958985528,7.69154813609324,14.82,12
Gaia DR3 4881345510044485120,0.996983185317034,0.831057559717165,6086.95402572169,8.990459442138672,32.91,6
Gaia DR3 2922641274023635584,1.00537231036646,0.676911244073455,6593.85537808052,11.46457290649414,155.5,6
