StarName,Mass,Radius,Teff,Gmag
Gaia DR3 5291028181119851776,1.06241210074694,1.05303976937746,5950.32411768286,5.4542724844197865
Gaia DR3 5481848424118748672,1.04627403787548,1.04238740255412,5883.61725859227,6.3730347579666615
Gaia DR3 4729274084030162560,1.05563602356287,1.09449255426059,5832.03273202219,8.836820602416992
Gaia DR3 4763906879239461632,1.10205502701212,1.10183641558532,6066.85060889769,4.563652628295214
Gaia DR3 4775347916201249792,1.03886286710642,1.04448961447302,5838.6755240757,6.71297993309814
Gaia DR3 4767108034327506304,1.04867643494312,1.01646166471571,5950.18384247158,9.372695922851562
Gaia DR3 5485115588561239808,1.04816188447623,1.05224032168751,5874.12756099239,8.85201644897461
Gaia DR3 5316675801680282880,1.02314512058667,1.02779788390004,5785.59320819177,9.06352710723877
Gaia DR3 4828528063821835648,1.02483809334484,1.03057137110181,5789.35640765185,8.040101051330566
Gaia DR3 4784083222550928896,1.05558283265366,1.11154053655177,5799.41193643062,9.231335639953613
Gaia DR3 5514669980082910208,1.02131273407771,0.949612102534519,5941.8180564567,8.625093460083008
Gaia DR3 5553647083168192512,1.05932951820444,1.13832154742298,5769.89476959609,6.463875629681652
Gaia DR3 5554020058128044160,1.1077405347342,1.14979643116641,6005.40427159114,8.889485359191895
Gaia DR3 5556169912598642560,1.07338080400439,1.14345493014268,5835.40620165389,8.53213882446289
Gaia DR3 5568492551727378304,0.993097245838714,0.950317961381149,5779.8530249475,8.159296035766602
Gaia DR3 4808165830030420352,1.07431835675534,1.07086948059524,5979.17542459459,7.998923303102666
Gaia DR3 5538678297515561088,1.04472599626167,1.09721946147427,5767.79929267581,8.732272148132324
Gaia DR3 5586381090520538880,0.982746302905713,0.933785627173234,5757.04164044409,6.509983093947247
Gaia DR3 5546537739765203840,1.05121194097478,1.04897887967018,5897.3657284682,9.10106086730957
Gaia DR3 2890222139320503040,1.09850403800583,1.14324223664004,5968.93544919408,9.064973831176758
Gaia DR3 4879098280075566208,1.03258727296767,0.966035018356898,5968.918434992,8.941264152526855
Gaia DR3 5608546347283308160,1.02094877663855,0.990331314320374,5851.06193276054,8.89599895477295
Gaia DR3 2898239468873596800,1.03480875201852,1.05130190731692,5802.78930955136,6.229922418201387
Gaia DR3 5613359910416875392,1.02818476738921,1.03496140940534,5799.00199332214,7.816341942033541
Gaia DR3 2914421428175876608,1.0596680340143,1.02755483021526,5987.53679617773,8.522382736206055
